brand,model,model_year,milage,fuel_type,ext_col,int_col,accident,clean_title,price,engine_displacement_l,engine_cylinders,transmission_type
Ford,E150 XLT,2013,"162,100 mi.",E85 Flex Fuel,Black,Gray,None reported,Yes,"$12,500",5.4,8.0,Automatic
Tesla,Model 3 Performance,2022,"13,079 mi.",,Black,White,None reported,Yes,"$47,000",,,Automatic
Toyota,4Runner SR5,2022,"28,377 mi.",Gasoline,Silver,Gray,None reported,,"$36,999",4.0,6.0,Automatic
Subaru,Forester Base,2020,"32,744 mi.",Gasoline,Black,Gray,None reported,Yes,"$24,000",2.5,4.0,Other
Porsche,Panamera 2,2012,"54,000 mi.",Gasoline,White,–,At least 1 accident or damage reported,Yes,"$26,000",3.6,6.0,Automatic
Toyota,Tacoma PreRunner,2008,"202,055 mi.",Gasoline,Silver,Gray,At least 1 accident or damage reported,Yes,"$8,500",4.0,6.0,Automatic
RAM,2500 Laramie,2019,"65,000 mi.",Diesel,Black,Black,None reported,Yes,"$65,000",6.7,6.0,Automatic
Kia,Sportage Nightfall,2022,"9,686 mi.",Gasoline,Hyper Red,Black,None reported,Yes,"$30,990",2.4,4.0,Automatic
Cadillac,DTS Base,2010,"49,620 mi.",Gasoline,White,Gray,None reported,Yes,"$10,499",4.6,8.0,Automatic
Toyota,Land Cruiser Base,1997,"213,000 mi.",Gasoline,White,Beige,None reported,Yes,"$26,500",4.5,6.0,Automatic
Nissan,GT-R Premium,2020,"16,010 mi.",Gasoline,White,Black,None reported,Yes,"$114,000",3.8,6.0,Automatic
Lexus,NX 350 F SPORT Handling,2023,820 mi.,Gasoline,Black,Black,None reported,,"$51,998",2.4,,Other
Audi,Q7 45 Premium Plus,2021,"68,000 mi.",Gasoline,Blue,Black,None reported,Yes,"$36,499",2.0,4.0,Automatic
Lexus,LX 470 Base,1999,"82,000 mi.",Gasoline,White,Beige,None reported,Yes,"$25,000",4.7,8.0,Automatic
GMC,Terrain SLE,2022,"27,352 mi.",Gasoline,Summit White,Jet Black,None reported,,"$27,785",1.5,4.0,Automatic
Ford,Escape Limited,2012,"129,000 mi.",Gasoline,White,Gray,At least 1 accident or damage reported,Yes,"$7,000",2.5,4.0,Automatic
Lexus,LS 460 L,2014,"106,731 mi.",Gasoline,White,Beige,At least 1 accident or damage reported,Yes,"$30,000",4.6,8.0,Automatic
Ford,Expedition Platinum,2019,"34,672 mi.",Gasoline,White,White,None reported,Yes,"$45,500",3.5,6.0,Automatic
Chevrolet,Malibu LTZ,2010,"55,900 mi.",Gasoline,Beige,Beige,None reported,Yes,"$8,950",3.6,6.0,Other
Audi,RS 7 4.0T quattro,2023,"3,158 mi.",Gasoline,Daytona Gray Pearl Effect,Black / Express Red,None reported,,"$128,900",4.0,8.0,Automatic
Audi,A5 2.0T Premium Plus,2015,"82,000 mi.",Gasoline,White,Brown,None reported,Yes,"$17,000",2.0,4.0,Automatic
Genesis,G70 2.0T,2023,"4,785 mi.",Gasoline,Vik Black,Obsidian Black,None reported,Yes,"$42,850",2.0,4.0,Automatic
Chevrolet,Trailblazer LS,2021,"20,497 mi.",Gasoline,Pacific Blue Metallic,Black,None reported,,"$22,999",1.3,3.0,Automatic
Scion,tC Base,2013,"177,600 mi.",Gasoline,Silver,Black,At least 1 accident or damage reported,Yes,"$7,100",2.5,4.0,Automatic
Lincoln,MKZ Hybrid Base,2014,"78,568 mi.",Hybrid,Blue,Beige,None reported,Yes,"$15,500",2.0,4.0,Automatic
Ford,Transit-350 XL,2018,"95,000 mi.",E85 Flex Fuel,White,Gray,None reported,Yes,"$43,000",3.7,6.0,Automatic
Porsche,911 GT2 RS,2018,"4,529 mi.",Gasoline,Black,Black,None reported,Yes,"$417,500",3.8,,Automatic
Ford,Explorer Timberline,2021,"25,240 mi.",Gasoline,Gray,Ebony,At least 1 accident or damage reported,,"$39,951",2.3,4.0,Automatic
Volvo,XC90 3.2,2011,"88,300 mi.",Gasoline,Blue,Beige,At least 1 accident or damage reported,Yes,"$11,500",3.2,6.0,Automatic
Chevrolet,Avalanche LTZ,2013,"98,000 mi.",E85 Flex Fuel,Silver,Black,At least 1 accident or damage reported,Yes,"$27,499",5.3,8.0,Automatic
Audi,TT RS 2.5T,2018,"20,675 mi.",Gasoline,Gray,Gray,None reported,Yes,"$76,000",2.5,5.0,Other
Lincoln,Navigator L,2008,"95,000 mi.",Gasoline,Black,Black,None reported,Yes,"$10,900",5.4,8.0,Automatic
Hyundai,Elantra GLS,2010,"107,000 mi.",Gasoline,Blue,Blue,At least 1 accident or damage reported,Yes,"$6,250",2.0,4.0,Automatic
Audi,SQ5 3.0T Premium Plus,2016,"60,000 mi.",Gasoline,Black,Black,At least 1 accident or damage reported,Yes,"$24,700",3.0,6.0,Other
Mitsubishi,Lancer Evolution GSR,2012,"33,000 mi.",Gasoline,Black,Black,None reported,Yes,"$34,999",2.0,4.0,Manual
Tesla,Model Y Performance,2023,500 mi.,,Black,White,None reported,Yes,"$60,000",,,Automatic
Mercedes-Benz,Maybach S S 600,2016,"108,500 mi.",Gasoline,White,Beige,None reported,Yes,"$63,500",6.0,12.0,Automatic
Nissan,GT-R Premium,2017,"37,800 mi.",Gasoline,Orange,Orange,None reported,Yes,"$149,500",3.8,6.0,Other
Mercedes-Benz,GLS 550 Base 4MATIC,2018,"74,422 mi.",Gasoline,Obsidian Black Metallic,Gray,None reported,,"$44,798",4.7,,Automatic
Chevrolet,Blazer Premier,2019,"55,621 mi.",Gasoline,Silver Ice Metallic,Jet Black,None reported,,"$34,562",3.6,6.0,Automatic
Mazda,CX-9 Grand Touring,2021,"46,707 mi.",Gasoline,Sonic Silver Metallic,Black,At least 1 accident or damage reported,Yes,"$32,541",2.5,4.0,Automatic
Ford,Expedition Max Limited,2022,"26,500 mi.",Gasoline,White,Beige,None reported,Yes,"$65,900",3.5,6.0,Automatic
Nissan,Titan XD SV,2020,"10,001 mi.",Gasoline,Black,Black,None reported,Yes,"$47,214",5.6,8.0,Automatic
Lexus,LX 570 Three-Row,2019,"19,050 mi.",Gasoline,Black,Beige,None reported,Yes,"$76,900",5.7,8.0,Automatic
Chevrolet,Traverse Premier,2020,"52,000 mi.",Gasoline,White,Black,None reported,Yes,"$35,800",3.6,6.0,Automatic
Mercedes-Benz,Sprinter High Roof,2014,"65,000 mi.",Diesel,Black,Black,At least 1 accident or damage reported,Yes,"$54,999",3.0,6.0,Automatic
BMW,X5 3.0i,2004,"140,000 mi.",Gasoline,Black,Beige,None reported,Yes,"$6,730",3.0,6.0,Other
Ford,Fusion SE,2018,"75,600 mi.",Gasoline,Blue,Black,At least 1 accident or damage reported,Yes,"$14,950",1.5,4.0,Automatic
